shirina,visina,dijametar,brend,model,sezona,kolicina,magacin
225,45,18,SAILUN,ICE BLAZER ALPIN EVO,ZIMA,2,1
225,45,17,SAVA,ESKIMO HP 2,ZIMA,5,1
215,60,17,SAVA,ALL WEATHER,4 SEZONI,4,1
215,60,17,SAILUN,ICE BLAZER ALPIN EVO,ZIMA,4,1
165,65,14,SAILUN,ICE BLAZER,ZIMA,4,1
195,55,15,SAILUN,ICE BLAZER,ZIMA,2,1
185,70,14,SAVA,ESKIMO S3,ZIMA,2,1
215,70,15,SAILUN,COMERCIO,ZIMA,4,1
195,55,16,SAVA,ESKIMO HP 2,ZIMA,4,1
155,65,14,SAILUN,ICE BLAZER,ZIMA,2,1
155,65,14,SAILUN,4SEAZON,4 SEZONI,2,1
245,40,20,SAILUN,ICE BLAZER ALPIN EVO,ZIMA,2,1
295,40,21,GRIPMAX,SURE GRIP PRO,ZIMA,4,1
175,65,15,SAILUN,ICE BLAZER,ZIMA,3,1
7,50,16,BKT,TOMA VINKOVIC,LETO,1,1
7,50,16,MRL,PRIKOLICA,LETO,2,2
6,0,16,BKT,PREDNA TRAKTO 6 PR,LETO,2,1
6,0,16,GTK,PREDNA TRAKTO 8 PR,LETO,3,2
11,2,28,BKT,ZADNA TRAKTOR,LETO,4,1
5,0,8,BKT,VILUSKAR,LETO,2,1
165,70,13,SAVA,ESKIMO,ZIMA,2,1
205,75,16,TIGAR,KARGO WINTER,ZIMA,2,1
215,75,16,SAILUN,ENDURE WSL1,ZIMA,2,1
