shirina,visina,dijametar,brend,shara,kolicina
11,2,28,mrl, so 8 pr,1
275,40,20,avon,LETEN,1
265,65,17,avon,LETEN,4
195,60,15,kelly,winter st,2
185,70,14,sava,eskimo s3,4
225,45,17, lassa ,ZIMA,4
225,45,17,sava,eskimo hp 2,16
225,40,18,sava,eskimo hp 2,4
245,40,18,sava,eskimo hp 2,4
195,65,15,fulda,kristal kontrol,44
225,70,15,sailun,endure wsl1,4
245,40,20,triangle,sportex,1
275,35,20,triangle,sportex,2
195,50,15,kelly,sumer hp,3
155,65,14,sailun,ice blazer alpin,4
155,65,14,sailun,4seazon,4
155,65,14,sava,perfekta,4
5,0,8,bkt,viljuskar,2
